Country.ID,Year,grgdp_p,cpi,interestrate,unem,savingrate,r_young,r_mid,r_old,r_imm
JPN,1993,-0.7805530690218498,1.255,2.979166667,2.5,31.413,0.16254054250803257,0.6915320181379746,0.13593424951328484,0.009993189840707892
JPN,1994,0.8030994060685526,0.69,2.234166667,2.892,29.826,0.1584322563498189,0.6902240742156677,0.1409278908381618,0.010415778596351689
JPN,1995,2.3692238545583555,-0.088,1.2325,3.15,29.034,0.15490685265566698,0.6882220966667653,0.14603041958249233,0.010840631095075447
JPN,1996,2.9083508624875742,0.138,0.587916667,3.367,33.427,0.1518266580539732,0.6854465083957488,0.15139774302743883,0.011329090522839154
JPN,1997,0.7410184268133113,1.699,0.597666667,3.4,33.228,0.1491343812945771,0.6820644292729197,0.15698485693634742,0.011816332496155792
JPN,1998,-1.534229652533703,0.652,0.717083333,4.1,32.4,0.14662917336462256,0.6785807622097532,0.1624880108864553,0.012302053539169092
JPN,1999,-0.5215986795718108,-0.347,0.245575,4.667,30.665,0.14428130712961867,0.6749996246103084,0.16793035060671652,0.012788717653356388
JPN,2000,2.566698568906633,-0.687,0.247325,4.733,31.046,0.1422530978634919,0.670853682260029,0.1736170382372002,0.013276181639278945
JPN,2001,0.1484073838650346,-0.694,0.121125,5.042,29.725,0.1406394309709588,0.6661100779169297,0.17948761068547556,0.013762880426635994
JPN,2002,-0.1684863009677184,-0.897,0.060258333,5.358,28.508,0.13923512626992007,0.6614287845187385,0.18508740012656277,0.014248689084778695
JPN,2003,1.3489292393022767,-0.263,0.088333333,5.242,28.746,0.13796846739612323,0.6573121733673927,0.18998220754497733,0.014737151691506682
JPN,2004,2.106096034636096,-0.01,0.088333333,4.733,29.359,0.13692163848258665,0.6526513887088773,0.19519776643530712,0.015229206373229017
JPN,2005,1.7899088342675509,-0.288,0.09,4.425,29.573,0.13603948026355234,0.6464882172698959,0.2017463809215725,0.015725921544979236
JPN,2006,1.3768932110812315,0.256,0.324675,4.117,29.869,0.135177433405355,0.6402205539615218,0.20869484087929316,0.015907171753830097
JPN,2007,1.4750991925602142,0.046,0.745833333,3.833,30.402,0.1344123496590406,0.6343400874410391,0.21516019705938622,0.01608736584053414
JPN,2008,-1.1739441638093928,1.382,0.846666667,3.983,28.661,0.1337760193651502,0.6285440938031847,0.22140977257481295,0.016270114256852135
JPN,2009,-5.588411764107271,-1.331,0.578333333,5.075,25.348,0.13299487221439324,0.624065201427452,0.22648317341292817,0.016456752945226628
JPN,2010,4.062203263259989,-0.742,0.383333333,5.058,26.429,0.13211543603584733,0.6214147334785528,0.22982087451152247,0.016648955974077367
JPN,2011,-0.1612446655331223,-0.277,0.332596667,4.583,25.624,0.13129697737678994,0.6165550473078163,0.23533440324343147,0.016813572071962272
JPN,2012,1.5965590419684927,-0.049,0.327210833,4.325,24.956,0.1303578039836929,0.6087538772211322,0.24389937690480257,0.016988941890372408
JPN,2013,2.18067280054306,0.332,0.236704167,4.008,25.299,0.12929209885416243,0.6006798600185587,0.25285836364575104,0.017169677481527878
JPN,2014,0.4643074911627742,2.758,0.204916667,3.583,25.787,0.12809248598349798,0.5935878071017258,0.26096430390065023,0.017355403014126084
JPN,2015,1.6742219846800133,0.799,0.169666667,3.375,28.235,0.12682325945162937,0.5877412547299569,0.26789729137390117,0.017538194444512645
JPN,2016,0.7676669725151353,-0.124,0.073666667,3.108,28.788,0.12557919670793205,0.5823247415375301,0.27369443151169504,0.01840163024284273
JPN,2017,1.847050103859349,0.486,0.059333333,2.817,29.343,0.12439245316696558,0.5780847039409611,0.2782593338873293,0.01926350900474396
JPN,2018,0.8428469427332219,0.989,0.072333333,2.433,29.169,0.12319296068207752,0.5748320753991111,0.28183940261800106,0.0201355613008103
JPN,2019,-0.1855199493862369,0.468,0.031083333,2.358,29.235,0.12191199907077717,0.5724879040195475,0.28457999653013416,0.021020100379541197
JPN,2020,-3.8855123720825446,-0.027,-0.035416667,2.8,28.191,0.1204169275209681,0.5702678881471429,0.28737617933505366,0.021939004996835307
JPN,2021,2.98865826683552,-0.235,-0.0655,2.817,29.718,0.11868313628450207,0.5689132966311455,0.29035542421459926,0.022048142869753182
JPN,2022,1.2812515272600855,2.496,-0.0295,2.592,28.878,0.11678003873003043,0.5688495340285714,0.29220202970652753,0.022168397534870637
JPN,2023,1.958871632272552,3.269,0.003833333,2.575,29.944,0.11467446699860886,0.5692609768793551,0.29378446516847884,0.02228009095355723
JPN,2024,0.5618874234591509,2.739,0.18575,2.567,31.033,0.11467446699860886,0.5692609768793551,0.29378446516847884,0.02228009095355723
KOR,1990,8.9463541384996,8.574,14.7,2.458,39.575,0.2580361906160615,0.6921723972320588,0.048810341371208335,0.0009810707806714152
KOR,1991,9.782940031549492,9.333,18.30083333,2.45,39.581,0.25186445060267804,0.6965695135933069,0.05022994364203635,0.0013360921619787957
KOR,1992,5.252149732340539,6.213,16.4125,2.525,38.62,0.24654585023702963,0.6998992961276777,0.051864005879020784,0.0016908477562719054
KOR,1993,5.913361283877805,4.801,12.96166667,2.9,38.641,0.2418302255849531,0.7025397445250259,0.0535887056067791,0.0020413242832419422
KOR,1994,8.27688343482107,6.266,13.2875,2.475,38.322,0.23692909951455482,0.7051421721250681,0.05554104404503611,0.002387684315340859
KOR,1995,8.637266715181834,4.481,14.05416667,2.067,38.063,0.23116946167770364,0.7085402930723262,0.05755957962437996,0.0027306656255902026
KOR,1996,6.966405331274861,4.925,12.63416667,2.058,36.34,0.22519341726641443,0.7119665778381787,0.059598159671486683,0.003241845223920107
KOR,1997,5.290228019864629,4.439,13.38166667,2.617,36.39,0.21981271566744404,0.7144519731071685,0.06199096105547102,0.0037443501699164984
KOR,1998,-5.622671545021552,7.514,15.22,6.95,38.104,0.21535916336435534,0.7158115828539054,0.06458774225083658,0.004241511530902696
KOR,1999,10.82670643406458,0.813,6.809166667,6.583,35.687,0.2119508628563339,0.7158620134376098,0.0674526164655461,0.0047345072405102565
KOR,2000,8.292540410232307,2.259,7.078333333,4.425,34.177,0.2095842805625999,0.7144254215625956,0.0707681162014111,0.00522218167339336
KOR,2001,3.925518951057772,4.067,5.3175,4.0,32.36,0.20734547674078793,0.7121600771439724,0.07427483237417787,0.006219613741061778
KOR,2002,7.123079981278924,2.762,4.805,3.258,31.81,0.20444391983990487,0.7103932217936272,0.07795425921291708,0.007208599153550859
