Country.ID,Year,gdp_p,cpi,interestrate,unem,savingrate,r_young,r_mid,r_old,r_imm,rr,inv,popgrowth,logoil
GBR,1996,2.582,2.425,6.110595833,8.1,18.544,24.66228988655209,48.68462920142203,19.328256707519305,7.324824204506577,3.685595833,18.808,0.2474961819250998,3.1
GBR,1997,4.925,1.825,6.9117225,6.95,17.471,24.663398890576055,48.5416868237869,19.291988348641283,7.502925936995767,5.0867225,17.61,0.25476441830085683,3.0
GBR,1998,3.403,1.557,7.424255833,6.25,17.795,24.627983273082048,48.42647672538333,19.269503268892148,7.676036732642472,5.867255833,18.077,0.30750975467743746,2.7
GBR,1999,3.058,1.329,5.545774167,5.975,15.789,24.506241534370847,48.400035371303595,19.249916258285772,7.843806836039784,4.2167741670000005,17.904,0.3613320691906008,3.0
GBR,2000,4.342,0.796,6.187456667,5.45,16.491,24.29353402281695,48.470820848714844,19.22620013790666,8.009444990561546,5.391456667,18.322,0.37166212002428534,3.4
GBR,2001,2.573,1.234,5.04343,5.1,16.341,24.084848069823128,48.30899308781916,19.224436307528205,8.381722534829509,3.80943,18.114,0.3907253659147125,3.3
GBR,2002,1.796,1.259,4.060289167,5.2,16.149,23.92644061346678,48.081699255348816,19.243968539670874,8.74789159151353,2.8012891669999997,18.123,0.4261783437449207,3.3
GBR,2003,3.152,1.362,3.735160833,5.0,15.893,23.79649796637049,47.78840172961106,19.308238821933358,9.10686148208508,2.373160833,17.716,0.46963120039291706,3.4
GBR,2004,2.458,1.344,4.637820833,4.75,15.39,23.649967433088335,47.49586899391186,19.402674593456233,9.451488979543566,3.293820833,17.692,0.5843860750812668,3.7
GBR,2005,2.733,2.057,4.7601675,4.825,15.882,23.440476573181897,47.279111556141515,19.500648457488392,9.779763413188187,2.7031674999999997,17.879,0.7082287414250876,4.0
GBR,2006,2.381,2.329,4.849209167,5.425,15.09,23.198465508263737,47.05458359964374,19.649085079056196,10.097865813036327,2.5202091669999995,18.21,0.7508510282541625,4.2
GBR,2007,2.625,2.323,6.0022075,5.35,14.848,23.040681429068318,46.61677949072763,19.936314527004743,10.406224553199307,3.6792075,18.577,0.7940234388426726,4.3
GBR,2008,-0.249,3.602,5.511411667,5.725,13.744,22.98978724797602,46.089088037379156,20.212517208046105,10.708607506598725,1.909411667,17.606,0.798643334025706,4.6
GBR,2009,-4.621,2.165,1.213653333,7.625,11.746,22.934092220942055,45.63951985870591,20.417944609373347,11.008443310978677,-0.9513466670000001,14.814,0.7721099416109656,4.1
GBR,2010,2.233,3.298,0.699774167,7.9,13.388,22.784191112524084,45.335824410322985,20.58009332150788,11.299891155645046,-2.598225833,16.149,0.8003322805021806,4.4
GBR,2011,1.138,4.464,0.87458,8.1,14.259,22.64424593471454,45.02803405023349,20.711890389634444,11.61582962541753,-3.5894200000000005,15.889,0.7980170865909297,4.6
GBR,2012,1.509,2.828,0.827250833,7.95,12.894,22.51372128453562,44.69463583171134,20.85521538579977,11.936427497953266,-2.000749167,16.04,0.7104449317100192,4.5
GBR,2013,1.8,2.565,0.512660833,7.575,11.511,22.409591624011085,44.317592520059364,21.01603963062982,12.256776225299735,-2.052339167,16.155,0.6705765391018526,4.6
GBR,2014,3.195,1.461,0.542949167,6.175,12.368,22.325025192544683,43.93396461144583,21.17735575354123,12.563654442468255,-0.9180508330000001,17.39,0.7400730381223797,4.5
GBR,2015,2.223,0.04,0.574149167,5.375,12.876,22.25654846562768,43.56878357091871,21.31641667728374,12.858251286169873,0.5341491669999999,17.824,0.7957854106632523,3.9
GBR,2016,1.922,0.66,0.498991667,4.875,12.412,22.20116555601856,43.30370900205146,21.447506590876735,13.047618851053242,-0.161008333,17.859,0.7819386679322582,3.8
GBR,2017,2.657,2.683,0.358951667,4.425,14.949,22.13881412753634,42.99840624153269,21.618709913307875,13.244069717623097,-2.324048333,18.443,0.6997867675828218,3.9
GBR,2018,1.405,2.478,0.722835833,4.075,14.123,22.066737600366125,42.65220952481537,21.83053946688868,13.450513407929817,-1.7551641670000002,18.05,0.5998148941614101,4.2
GBR,2019,1.624,1.791,0.80785,3.825,15.562,21.981741044435697,42.293109569379126,22.06259848056408,13.662550905621107,-0.98315,18.25,0.5370332710509906,4.0
GBR,2020,-10.297,0.851,0.295,4.625,14.638,21.904618775829977,41.99122840873522,22.20760000820467,13.896552807230131,-0.556,17.572,0.35896298783277825,3.7
GBR,2021,8.576,2.588,0.09,4.55,17.244,21.83183645424024,41.95079912169851,22.385896884342195,13.831467539719048,-2.498,17.681,0.4705593771895833,4.2
GBR,2022,4.839,9.067,2.000833333,3.8,16.643,21.731945226114803,41.838972407987875,22.701184203000693,13.727898162896635,-7.066166667,18.744,0.7544445303530933,4.6
GBR,2023,0.397,7.303,4.950833333,4.05,14.286,21.63692924573543,41.637608453479274,23.098229782968374,13.627232517816918,-2.3521666669999997,17.794,0.7387093817332602,4.4
GBR,2024,1.101,2.53,5.001666667,4.275,14.312,21.55422809981948,41.475225744080966,23.433039899517766,13.537506256581791,2.4716666670000005,17.679,0.6627975606031677,4.3
GRC,1990,,20.434,23.3,7.0,22.031,25.12819385548766,49.71582554035503,19.13034543982948,6.025635164327839,2.8659999999999997,25.692,0.3958489490987427,3.2
GRC,1991,3.102,19.456,28.6,7.7,25.04,24.583141709367275,49.362367614521276,19.59185162502945,6.462639051082,9.144000000000002,26.551,0.4694356974863867,3.1
GRC,1992,0.697,15.877,28.7,8.7,21.764,24.117555444218088,49.02764695142407,19.962609657849313,6.892187946508528,12.822999999999999,23.628,0.5166618736418993,3.0
GRC,1993,-1.599,14.411,19.9,9.7,21.721,23.662366634060813,48.71747383172199,20.30253870002936,7.317620834187856,5.488999999999999,22.415,0.5101982457446974,2.9
GRC,1994,2.0,10.873,17.5,9.6,21.021,23.18184543389164,48.43873783179177,20.641143094149346,7.738273640167244,6.627000000000001,21.148,0.5138795940611285,2.8
GRC,1995,2.1,8.788,16.40414607,10.0,18.274,22.677966728472498,48.1776121636988,20.989360014742516,8.155061093086195,7.616146069999999,20.654,0.5061502631384274,2.9
GRC,1996,1.382,7.873,13.78157091,10.3,18.119,22.296364833567957,47.93054830237804,21.17700244463618,8.596084419417828,5.908570909999999,21.694,0.48335741540888044,3.1
GRC,1997,3.603,5.441,12.88378603,10.3,17.234,21.926138580772097,47.73228177447027,21.309884606242044,9.031695038515577,7.44278603,21.071,0.4942725126016345,3.0
GRC,1998,3.437,4.517,13.91549525,11.2,20.96,21.56460047572884,47.557849071637456,21.41525256784072,9.462297884792985,9.39849525,23.674,0.4997399345246567,2.7
GRC,1999,2.659,2.141,10.31317284,12.125,19.452,21.190104298113607,47.43083685928641,21.4899192534492,9.88913958915079,8.17217284,23.182,0.4921731804373941,3.0
GRC,2000,4.138,2.897,7.884647718,11.35,19.889,20.83162418091682,47.35668971452711,21.50191488444151,10.309771220114564,4.987647718,26.038,0.5097385563067158,3.4
GRC,2001,4.65,3.642,4.261780438,10.775,17.889,20.521274072829385,47.53428369866414,21.54643061501379,10.398011613492688,0.6197804379999998,24.998,0.5613516547671393,3.3
GRC,2002,4.683,3.921,3.318601627,10.35,17.181,20.176023851716284,47.75126602511936,21.57452988721003,10.498180235954328,-0.6023983729999998,23.615,0.4345779716408593,3.3
GRC,2003,5.797,3.45,2.333474191,9.775,19.592,19.789917471045165,47.931205752160714,21.663011240310116,10.615865536484,-1.116525809,26.062,0.25881323313330373,3.4
GRC,2004,5.378,3.02,2.10632298,10.6,19.436,19.472357984210905,47.985585207692196,21.809807117520652,10.73224969057624,-0.9136770200000002,25.109,0.2646387026168817,3.7
